(1.0, (45, 25), None)
(1.0, (44, 25), (45, 25))
(1.0, (45, 26), (45, 25))
(1.0, (46, 25), (45, 25))
(1.4142135623730951, (45, 24), (45, 25))
(1.4142135623730951, (44, 26), (45, 25))
(1.4142135623730951, (46, 26), (45, 25))
(1.4142135623730951, (46, 24), (45, 25))
(2.0, (44, 24), (45, 25))
(2.0, (43, 25), (44, 25))
(2.0, (45, 27), (45, 26))
(2.0, (47, 25), (46, 25))
(2.414213562373095, (45, 23), (45, 24))
(2.414213562373095, (43, 26), (44, 25))
(2.414213562373095, (43, 24), (44, 25))
(2.414213562373095, (44, 27), (45, 26))
(2.414213562373095, (46, 27), (45, 26))
(2.414213562373095, (47, 26), (46, 25))
(2.414213562373095, (47, 24), (46, 25))
(2.414213562373095, (46, 23), (45, 24))
(2.8284271247461903, (44, 23), (45, 24))
(2.8284271247461903, (43, 27), (44, 26))
(2.8284271247461903, (47, 27), (46, 26))
(2.8284271247461903, (47, 23), (46, 24))
(3.0, (43, 23), (44, 24))
(3.0, (42, 25), (43, 25))
(3.0, (45, 28), (45, 27))
(3.0, (48, 25), (47, 25))
(3.414213562373095, (45, 22), (45, 23))
(3.414213562373095, (42, 26), (43, 25))
(3.414213562373095, (42, 24), (43, 25))
(3.414213562373095, (44, 28), (45, 27))
(3.414213562373095, (46, 28), (45, 27))
(3.414213562373095, (48, 26), (47, 25))
(3.414213562373095, (48, 24), (47, 25))
(3.414213562373095, (46, 22), (45, 23))
(3.82842712474619, (44, 22), (45, 23))
(3.82842712474619, (42, 27), (43, 26))
(3.82842712474619, (42, 23), (43, 24))
(3.82842712474619, (43, 28), (44, 27))
(3.82842712474619, (47, 28), (46, 27))
(3.82842712474619, (48, 27), (47, 26))
(3.82842712474619, (48, 23), (47, 24))
(3.82842712474619, (47, 22), (46, 23))
(4.0, (43, 22), (44, 23))
(4.0, (41, 25), (42, 25))
(4.0, (45, 29), (45, 28))
(4.0, (49, 25), (48, 25))
(4.242640687119286, (45, 21), (45, 22))
(4.242640687119286, (42, 28), (43, 27))
(4.242640687119286, (48, 28), (47, 27))
(4.242640687119286, (48, 22), (47, 23))
(4.414213562373095, (42, 22), (43, 23))
(4.414213562373095, (41, 26), (42, 25))
(4.414213562373095, (41, 24), (42, 25))
(4.414213562373095, (44, 29), (45, 28))
(4.414213562373095, (46, 29), (45, 28))
(4.414213562373095, (49, 26), (48, 25))
(4.414213562373095, (49, 24), (48, 25))
(4.414213562373095, (46, 21), (45, 22))
(4.82842712474619, (44, 21), (45, 22))
(4.82842712474619, (41, 27), (42, 26))
(4.82842712474619, (41, 23), (42, 24))
(4.82842712474619, (43, 29), (44, 28))
(4.82842712474619, (47, 29), (46, 28))
(4.82842712474619, (49, 27), (48, 26))
(4.82842712474619, (49, 23), (48, 24))
(4.82842712474619, (47, 21), (46, 22))
(5.0, (43, 21), (44, 22))
(5.0, (40, 25), (41, 25))
(5.242640687119285, (45, 20), (45, 21))
(5.242640687119285, (41, 28), (42, 27))
(5.242640687119285, (41, 22), (42, 23))
(5.242640687119285, (42, 29), (43, 28))
(5.242640687119285, (48, 29), (47, 28))
(5.242640687119285, (49, 28), (48, 27))
(5.242640687119285, (49, 22), (48, 23))
(5.242640687119285, (48, 21), (47, 22))
(5.414213562373095, (42, 21), (43, 22))
(5.414213562373095, (40, 26), (41, 25))
(5.414213562373095, (40, 24), (41, 25))
(5.414213562373095, (46, 20), (45, 21))
(5.656854249492381, (44, 20), (45, 21))
(5.656854249492381, (41, 29), (42, 28))
(5.656854249492381, (49, 29), (48, 28))
(5.656854249492381, (49, 21), (48, 22))
(5.82842712474619, (41, 21), (42, 22))
(5.82842712474619, (40, 27), (41, 26))
(5.82842712474619, (40, 23), (41, 24))
(5.82842712474619, (47, 20), (46, 21))
(6.0, (43, 20), (44, 21))
